name,parkprop,parknumber,commboard,council,dimen,extant,Cost
William C. Allen Plaque,N,,3.0,36.0,,Y,
Mary Harriman Rumsey,Y,M010,7.0,6.0,"H: 2'9"" W: 2'4""",Y,
Dewitt Clinton,N,,11.0,8.0,"H: 6'6""",Y,
Schermerhorn Fountain,N,,3.0,1.0,,N,
Martin Kalbfleisch,N,,0.0,0.0,,Y,
U.S. Army Tablet,Y,B041,8.0,36.0,,M,
"poe, edgar allan",N,,9.0,7.0,,Y,
Liotti-Ikefugi Plaque,Y,R037,1.0,49.0,"Plaque H: 14"" W: 9""",Y,
Marines of 4th Brigade,Y,M010,7.0,6.0,"H: 11 ½"" W: 11""; Pedestal H: 12"" W:12""",M,
greek law giver,O,B048,9.0,35.0,,Y,
Robert Moses Memorial,Y,M010,7.0,6.0,,Y,
Korean War Memorial,Y,Q024,7.0,20.0,"Soldier: 2,850 lbs; Honor roll: 2,700 lbs",Y,
new york training school for teachers,N,,0.0,0.0,,Y,
Argonne-Marine Memorial Oval Marker,Y,B057,18.0,46.0,"H: 1'10"" W: 2'6"" D: 2'",Y,
Overseas Service League Flagstaff,Y,M010,7.0,6.0,"H: 1' Diameter:  4'; Letters H: 1""",Y,
Alexander von Humboldt,Y,M010,7.0,6.0,"Bust H: 4'3""; overall H: 13' W: 6'10"" D: 6'",Y,
Wien Walk Plaques,Y,M010,7.0,6.0,"H: 11"" W: 1'4""",Y,"approximately $1,000;"
Greenpoint War Memorial,Y,B114,1.0,33.0,Overall H: 17',Y,
Instruction,N,,1.0,1.0,,Y,
Bethesda Terrace,Y,M010,7.0,6.0,,Y,
"Washington, George",Y,M073,12.0,7.0,"3'3 ½""h x 2'4""w",M,
Indian Maid and Fawn,O,B010,9.0,35.0,H: 6' W: 3',Y,
greek religion,O,B048,9.0,35.0,,Y,
Harry Hoffman,Y,M098,2.0,1.0,,M,
Indian Literature,O,B048,9.0,35.0,,Y,"$3,000"
Caribou,O,M010,7.0,6.0,,Y,
Belvedere Tower,Y,M010,7.0,6.0,,Y,
roman orator,O,B048,9.0,35.0,,Y,
Bacchante and Infant Faun,N,M010,7.0,6.0,"h 7'½"" x w 2'5¾"" x d 2'6½""",Y,
Zoo,Y,M010,7.0,6.0,"H: 1'1"" W: 1'4 ½""",Y,
Force,N,,1.0,1.0,,Y,
Reuben James Taylor,Y,M010,7.0,6.0,"5'6""h x 4'8""w x 3'6""d",M,
Navy Terrace,Y,M010,7.0,6.0,,Y,
Friedel Memorial Drinking Fountain,Y,M010,7.0,6.0,"H: 3'3'"" W: 1'8"" D: 3' 3""",Y,
greek lyric poetry,O,B048,9.0,35.0,,Y,
public school # 3 tablet,N,,0.0,0.0,,Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
Urns -central park bandshell (2),Y,M010,7.0,6.0,see memo,Y,
Daniel Draper,Y,M010,7.0,6.0,"H: 2'4""",Y,
Turkeys,O,M010,7.0,6.0,,Y,
Penguins,O,M010,7.0,6.0,,Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
Helen Hanning,Y,M010,7.0,6.0,"Plaque H: 5"" W: 7""; Plinth H: 9 1/2"" W: 12"" D: 12""",M,
Tortoise & Hare,Y,X092,13.0,11.0,app. 8' x 4' x 6',Y,
Bethesda Fountain and Terrace,Y,M010,7.0,6.0,"H: 15"" W: 23""",Y,
City Employees War Memorial,Y,M010,7.0,6.0,"Sleeve H: 4'11"" W: 3'2"" D: 3'2""; Pedestal H: 6'1"" W: 7'6"" D: 7'6""",Y,"$14,000"
Florence Gallagher,Y,X092,13.0,11.0,,Y,
Nichols Bird Bath,Y,M072,0.0,7.0,"H: 3' Diameter: 2'6""",M,625.00
Conservatory Garden Fountain,Y,M010,7.0,6.0,"Coping H:11"" W: 2'; Oval Diameter: 1'8""; Bronze H: 1'2"" Diameter: 10""",Y,
"Memorial Grove, Poe Park",Y,X040,7.0,15.0,,M,
Jose Julian Marti,Y,M010,7.0,6.0,"Statue H: 18'6"" W: 6'5"" D: 12'; Pedestal H: 16'5"" W: 8'  D: 14'",Y,
Edgewater Village Hall Plaque,Y,R028,1.0,49.0,,Y,
Fitz Greene Halleck,Y,M010,7.0,6.0,"Total H: 13'5"" W: 5'5"" L: 6'5""",Y,
staffordshire plate/ aquarium picture,N,,0.0,0.0,,M,
Darwin,O,M053,7.0,6.0,,Y,
new york,O,B048,9.0,35.0,,Y,
Erasmus High School Window,N,,14.0,40.0,,Y,
Ludwig Van Beethoven,Y,M010,7.0,6.0,"H: 17'2"" W: 6'7"" D: 6'7""",Y,6000.00
Jackie Robinson and Pee Wee Reese Monument,Y,B369,13.0,47.0,"Donor plaque: W:78"" H:13.5""",Y,
Shirley Chisholm Plaque,Y,B012,8.0,36.0,,Y,
Julius Goldstein,Y,B100,11.0,44.0,,M,
Col. J. Gardiner Conroy,Y,,8.0,33.0,,M,
Sculptured Panels,O,B073,0.0,39.0,,Y,
Egyptian Obelisk,Y,M010,7.0,6.0,H: 71' W: 18' D: 18',Y,"$100,000"
Dworkin Plaque,Y,M010,7.0,6.0,"H: 16"" W: 30"" D: 6""",M,
museum of the city of new york,N,,0.0,0.0,,Y,
Brooklyn Heights Promenade Tablet,Y,,2.0,33.0,,N,
"Wollman, Jane and Betty Skating Rink",Y,M010,7.0,6.0,"2'4""h x 3'6""w",Y,
Austin Flint,Y,M263,6.0,4.0,,M,
Richmond War Memorial,N,,1.0,49.0,"H: 5'6"" W: 3'6""",Y,"$1,000"
hebrew psalmist,O,B048,9.0,35.0,,Y,
Tisch Children's Zoo Gate,Y,M010,7.0,6.0,"Center pylon H: 8'10"" W: 6' D: 2'; Proper right pylon H: 8'8"" W: 2' D: 2'; Proper left pylon H: 8'10"" W: 2' D: 2'; Center plaque H: 3' W: 4'; Each side plaque H: 1' W: 1'6""",Y,
williamsburg war memorial,Y,,0.0,0.0,,N,
Wynn Circle Fountain,Y,B115,1.0,33.0,,N,
Van Cortlandt Park Tablet,Y,X092,0.0,11.0,,M,
harlem river drive pylons,Y,M039,12.0,7.0,,M,
Brooklyn Botanical Garden,O,B010,9.0,35.0,,Y,
Riverside Drive Tablets,Y,M072,0.0,7.0,"H: 59"" W: 32"" D: 24""",M,
Robert Burns,Y,M010,7.0,6.0,"H: 14'10"" W: 10' D: 10'",Y,
Shakespeare Bust,Y,M010,7.0,6.0,,S,
greek sculpture,O,B048,9.0,35.0,,N,
Queens Flagstaff,N,,0.0,0.0,,Y,
Commissioner Newbold Morris,Y,M010,7.0,6.0,"H: 6 3/8"" W: 15""",Y,
Senator Robert F. Wagner Memorial,Y,M225,11.0,6.0,"Bust H: 3'6""",Y,50000.00
Painting,N,,1.0,1.0,,Y,
Marine Walk Tablet,Y,M010,7.0,6.0,"W: 20"" H: 16""",M,
Bull's Head,O,B048,9.0,35.0,"4'h x 6'6""w",Y,
Cactus Couple,Y,M010,7.0,6.0,"Tall form H: 4'6"" Diameter: 8""; Ball-shaped form H: 1'6""  Diameter: 8""; Weight: 1,700 pounds (approximate)",Y,"$25,000"
307th Infantry Memorial Grove,Y,M010,7.0,6.0,see memo,Y,
Central Park Fountain,Y,M010,7.0,6.0,,N,
Wolf and Lynxes,O,M010,7.0,6.0,,Y,
Louisa,Y,X260,2.0,17.0,"H: 75"" L: 76"" W: 29""     Plaque: L: 10 "" W: 8.5""",Y,
Christopher Columbus,Y,M010,7.0,6.0,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",Y,
Jeanne E. Kerbs,Y,M010,7.0,6.0,"H: 1'10"" W: 2'4""",Y,
John Jay,N,,1.0,1.0,,Y,
First Milestone,Y,,3.0,1.0,,M,
greek philosophy,O,B048,9.0,35.0,,Y,
rainey memorial,N,,8.0,35.0,,Y,
mohammed,N,,5.0,2.0,,Y,
Board of Estimate,N,,1.0,1.0,,Y,
Recreation Pier,N,,2.0,38.0,,Y,
solon,N,,5.0,2.0,,Y,
Jeanette Park,Y,M046,1.0,1.0,,M,
Millennial Clock,N,,1.0,1.0,"h 15'4""; total weight 3,500 pounds",Y,
History,O,M008,5.0,3.0,,Y,
Chemistry,N,,1.0,1.0,,Y,
Keeper of the Rolls,N,,1.0,1.0,,Y,
joy-lette,N,,0.0,0.0,,Y,
"griffin, anne",N,,5.0,37.0,,Y,
Wave Hill Landmarks Plaque,Y,X209,8.0,11.0,"15""h x 23""w x¾""d",Y,
public school #91,N,,0.0,0.0,,Y,
Five in One,N,,3.0,1.0,,Y,
Murray's Whay,Y,,0.0,0.0,,N,
sea view hospital,N,,2.0,50.0,,Y,
Autumn,N,,5.0,2.0,,Y,
Highland Park Tablet,Y,B047,5.0,30.0,,M,
Columbia University entrance pylons,N,,9.0,9.0,,Y,
G.A.R. Memorial,Y,,0.0,0.0,,,
Paul Tine Memorial,Y,M029,12.0,7.0,,M,
Fidelity Memorial Park Cannon,Y,B031,1.0,33.0,,N,
Samuel S. Powell,N,B113C,2.0,33.0,,Y,
science,N,,9.0,9.0,,Y,
Stuyvesant High School,N,,6.0,2.0,,Y,
Civil Service,N,,1.0,1.0,,Y,
Abram Stevens Hewitt,N,,1.0,1.0,,Y,
J. Wesley Drumm Park,Y,Q139,5.0,30.0,"H: 10'4"" W: 17'6""",M,
roman lyric poetry,O,B048,9.0,35.0,,Y,
noon and evening,N,,5.0,2.0,,Y,
"verrazzano, giovanni tablet",N,,1.0,49.0,"32""h x 22""w x¾""d",Y,
Evander Childs High School,N,,12.0,12.0,,Y,
Queensboro Bridge Tablet,Y,Q104,1.0,26.0,H: 4' W: 6',M,400.00
public school #159,N,,0.0,0.0,,Y,
Romance,O,M008,5.0,3.0,,Y,
public school #83,N,,0.0,0.0,,Y,
records,N,,1.0,1.0,,Y,
History,O,M008,5.0,3.0,,Y,
Conservatory Building Plaques,O,X002,14.0,12.0,"Each H: 7"" W: 10""",Y,
Hall of Fame for Great Americans,N,,5.0,14.0,l 630' x w 10',Y,
water supply,N,,1.0,1.0,,Y,
Benjamin Franklin,N,M053,7.0,6.0,,Y,
Sculpture,N,,1.0,1.0,,Y,
public school #117,N,,1.0,34.0,,Y,
Othello,N,,10.0,9.0,,Y,
washington's headquarters subway,N,,12.0,7.0,"1'h x 2'5""w",Y,
oyster house,Y,M046,1.0,1.0,,N,
Abraham Lincoln,N,,13.0,47.0,,Y,
public school #164,N,,0.0,0.0,,Y,
"White, m'g's. william j.",Y,B126,6.0,38.0,"plaque: 17""h x 12""w",M,
Peter Minuit,Y,,0.0,0.0,,M,
Chinese Philosophy,O,B048,9.0,35.0,,Y,
spirit of commerce,N,,3.0,1.0,over life size,Y,
public school #186,N,,0.0,0.0,,Y,
Shamrock III Tablet,N,B040,19.0,33.0,"12'h x 9 ¼""w x 13""diam (pole",Y,
white plains road public comfort station,N,X003,11.0,13.0,"20""h x 24""w x ½""d",Y,
Susan E. Blow,N,,8.0,36.0,,Y,
Caleb Heathcote,N,,1.0,1.0,,Y,
public school #11,N,B301,2.0,35.0,,Y,
"Justinian, Flavius Anicus",N,,5.0,2.0,,Y,
"spaulding, frank benton",N,,12.0,43.0,,Y,
Heritage,N,,1.0,1.0,,Y,
Gettysburg Address - Newtown High School,N,,7.0,20.0,,Y,
Mrs. Frank H. Parcells,O,B010,9.0,35.0,,Y,
Spring,N,,1.0,1.0,,Y,
Tompkinsville Flagstaff,Y,R024,1.0,49.0,"H: 1'3"" W: 6¾""",N,
Philip Hone,N,,1.0,1.0,,Y,
public school #190,N,,0.0,0.0,,Y,
Flagstaff P.S. 34,N,Q082,13.0,27.0,,Y,
"reid, samuel j. jr.",N,B323,3.0,36.0,,Y,
Shepard Fountain,Y,M089,5.0,2.0,,N,
Peter Stuyvesant,N,,1.0,1.0,,Y,
holland bust,N,,2.0,3.0,,Y,
Bryant High School,N,,1.0,26.0,,Y,
Bushwick High School,N,B017,4.0,37.0,,Y,
roosevelt island monument list,Y,,0.0,0.0,,M,
Dewitt Clinton,O,M013,1.0,1.0,,Y,
Riis Park Hollies Tablet,N,Q049,18.0,46.0,,M,
Force,N,M052,5.0,2.0,,Y,
St. Vartans Park Flagstaff,Y,M076,6.0,4.0,,M,
public school #73,N,,0.0,0.0,,Y,
"Rumford, Count Benjamin Thompson",N,,9.0,7.0,,Y,
Indian Religion,O,B048,9.0,35.0,,Y,"$3,000"
Buffalo Hunt,N,,3.0,1.0,h 6' x  w 40',Y,
Grant Square Fountain,Y,B041,8.0,36.0,,N,
public school #17,N,,0.0,0.0,,Y,
City College,N,,0.0,0.0,,Y,
"Dante, Alighieri",N,,4.0,21.0,,Y,
Heisser Square Park Cannon,Y,B045,4.0,37.0,,N,
Anne Hutchins,Y,,0.0,0.0,"36'l x 21'6""d",N,
Architecture,N,,1.0,1.0,,Y,
Abe Stark Skating Rink,Y,B336,13.0,47.0,,Y,
Robert A. Slattery Flagstaff,Y,X085,5.0,15.0,see memo,M,
spirit of industry,N,,3.0,1.0,over life size,Y,
victory and peace,N,,4.0,17.0,,Y,
Times Square Beautification,Y,,5.0,3.0,"9""h x 13""w set in pavement",M,
Authority,N,,1.0,1.0,"figure h 7'10""; pedestal h 4' x w 3'7"" x d 5'7""",Y,
winter,N,,5.0,2.0,,Y,
"vanderbilt, cornelius",N,,5.0,4.0,see memo,Y,
Religion,O,M008,5.0,3.0,,Y,
jefferson high school,N,,16.0,42.0,,Y,
Music,N,,1.0,1.0,,Y,
Law,N,,1.0,1.0,,Y,
"howe, alice c.",N,,0.0,0.0,,M,
manu,N,,5.0,2.0,,Y,
Erasmus Hall High School,N,,14.0,40.0,,Y,
public school #79,N,,0.0,0.0,,Y,
Andre J. G. Parmentier,O,B010,9.0,35.0,"H: 32"" W: 24""",Y,375.00
Morning and Night,N,,5.0,2.0,,Y,
Simon Bolivar,N,,12.0,7.0,"24""h",Y,
Forest Hills-Sundial,N,,6.0,29.0,,M,
public school #48,N,,0.0,0.0,,Y,
Orchard Beach Fountain,Y,X039,0.0,13.0,,S,
Dean Clay Osborne,O,B010,9.0,35.0,,Y,
George Washington Tree Marker,Y,R006,3.0,51.0,"6 ½""h x 10""w",M,
"still, edward w.",N,,0.0,0.0,,Y,
Prospect Park Storehouse,Y,B073,0.0,39.0,,N,150.00
Ephraim J. Whitlock,N,,8.0,4.0,,Y,
"larkin, charles d.",N,,6.0,33.0,,Y,
Brooklyn Approach Manhattan Bridge,Y,,2.0,33.0,,M,
Richmond Hill,N,,9.0,30.0,16'h,Y,
Monkey,O,X002,14.0,12.0,,Y,
"Smith, William Wesley",N,,0.0,0.0,,Y,
"Sundial, Compass and Meridian Marker",O,B010,9.0,35.0,,Y,
Japanese 'Shogun' Lantern,O,B010,9.0,35.0,H: 10' Diameter: 3',Y,
kings highway,N,,0.0,0.0,,M,
James Henry Roosevelt Memorial,N,,4.0,6.0,h 9' x w 7' x d 7' (all approximate),Y,
"sayre, lewis albert",N,,6.0,2.0,,Y,
Brooklyn Training School for Teachers,N,,0.0,0.0,,M,
van wyck,N,,1.0,1.0,life size,Y,
New York In Its Infancy,N,,1.0,1.0,,Y,
"Failor, Isaac Newton",N,,9.0,30.0,,Y,
public school #134,N,,0.0,0.0,,Y,
Pediment Group,O,B048,9.0,35.0,,Y,
Van Cortlandt Park Comfort Station,N,X092,0.0,11.0,"20""h x 36 ¼""w",Y,
public school #5,N,,0.0,0.0,,Y,
"Duggan, Elizabeth A.",N,M111,11.0,8.0,,Y,
William H. Todd,Y,B126A,6.0,38.0,,M,
Oakwood Beach Flagstaff,,,,,,,
Douglaston World War I Memorial,N,,,,,Y,
Accounts,N,,,,,Y,
John Adams Plaque,N,,2.0,3.0,,N,
Magic Forest,,Q300,7.0,20.0,220' total length,Y,
Sandhog Memorial,N,,13.0,11.0,"Iron manhole covers: 2' 2"" diameter; granite medallion: 7' diameter",Y,
Anzio Beach War Memorial,N,,,,"H: 6' L: 7' Weight: 6,104 lbs",Y,$17850
Stuyvesant Park Fountains (2),Y,M086,6.0,2.0,"29'3"" diam, basin depth 2'11""",Y,
Canal Street Fountain,Y,,1.0,1.0,"8' h (tower), 114' l",Y,approx. $1 million
Remsen Cemetery Plaque,,,,,,,
Dinosaur Play Sculptures,O,M071,7.0,6.0,Trachodon: 6'x8'; Triceratops: 5'x10',Y,"$9,900"
Tribute Park,Y,Q028A,14.0,32.0,,Y,
Bullet Mural (Dog Mural),Y,Q293,41.0,19.0,,S,
Memorial to the 1956 Hungarian Revolution,Y,M071,9.0,9.0,,Y,"$250,000"
Coenties Ship,Y,,1.0,1.0,"H: 21'6"" (approx.)",Y,"$200,000"
Von Weber Memorial,Y,B073,0.0,39.0,"Bust H: 4'1 ½""",Y,
Mowgli Is Carried by the Monkeys,O,B073,0.0,39.0,,Y,
Socrates,Y,Q436,1.0,22.0,"Figure H: 6'; Base H: 7'6"" W: 4' D: 7'6""",Y,"$75,750"
Van Cortlandt Memorial Grove,Y,X092,0.0,11.0,"Tablets H: 7"" W:10""; Plinths H: 12"" W: 14""",Y,
Mowgli Removes a Thorn from a Wolf's Paw,O,B073,0.0,39.0,,Y,
Rocket Thrower,Y,Q099,15.0,21.0,H: 42 ½'h (to grade),Y,
Isham Milestone,Y,M043,12.0,7.0,"H: 28"" W: 12"" D: 6""",Y,
Dragon Fountain,Y,B073,0.0,39.0,H: 6' (approximate),Y,"$800,000 (entire playground)"
Veterans Square Flagstaff (Rosedale),Y,QZ108,,,"38.5"" W x 49"" H",Y,
"Sailor, Soldier, Marine",Y,Q401,6.0,25.0,Each H: 10'  W: 20',Y,
Thunderbird,N,B223D06,2.0,33.0,10' long (approximate),Y,
Growth,Y,M166,11.0,8.0,H: 14' W: 11' D: 9',Y,
Washington Square Fountain,Y,M098,2.0,1.0,2'h x 50'diam,Y,
Rockaway Veterans Memorial Tree Markers,Y,Q163A,14.0,32.0,"Each plaque H: 3"" W: 12""",Y,
Livingston Honor Roll,Y,R116,1.0,49.0,,Y,
El Arbol de Esperanza,Y,M047,11.0,8.0,"Trunk H: 12'; Globe H: 12' Diameter: 7'6""",Y,"$50,000"
Richmond Hill Flagstaff,Y,Q015,16.0,30.0,"Pedestal H: 10' Diameter: 4'6""; Base H: 4'2"" Diameter: 15'8""",Y,
Chelsea Recreation Center Mosaics,Y,M260,4.0,3.0,"Tiles: 3/8""",Y,
Four Eagles,Y,B040,0.0,39.0,"Small eagle (each) H: 6'7""  W: 5'7""; Small eagle and globe (each) H: 9';  Large eagle (each) H: 6'8""  W: 5'6""; Large eagle and globe (each) H: 9'11""; Column (each) H: 50'",Y,
Jelly Fish,Y,X010,3.0,15.0,,Y,
Scorpions,Y,X010,3.0,15.0,,Y,
Jackson Square Fountain,Y,M044,2.0,3.0,,Y,
Life Saver,Y,X010,3.0,15.0,,Y,
Carmine Street Pool Mural,Y,M038,2.0,3.0,H: 18' W: 170',Y,
General George Washington Tablet,Y,Q001,11.0,23.0,"H: 14"" W: 20""",Y,
Panthers,Y,B073,0.0,39.0,"Overall H: 18' W: 6'8"" D: 9'",Y,
Riverside Fountain,Y,M072,12.0,7.0,"H: 1'10"" W: 17'4"" D: 1'8"" coping",Y,
East 23rd Street Bath House Dolphin Fountain,Y,M164,6.0,4.0,,Y,
Truth,O,M008,5.0,3.0,"H: 10' W: 6' D: 4'2""",Y,"$15,000"
Bird Bath,Y,M013,1.0,1.0,,Y,
East 23rd Street Bath House Fountain,Y,M164,6.0,4.0,,Y,
Topiary: A Twenty-Year Project,O,B073,0.0,39.0,h 8' to 20' ; paths l 30' to 180' x w 12' to 25',Y,
John J. Carty Plaque,Y,B210,6.0,38.0,"H: 18"" W: 24""",M,
police mall tablet,N,,1.0,1.0,,Y,
Pete McArdle Memorial,Y,X092,0.0,11.0,H: 15',Y,
Poor Fish,Y,X010,3.0,15.0,,Y,
Stuyvesant Park Fountains (2),Y,M086,6.0,2.0,"29'3"" diam, basin depth 2'11""",Y,
"willkie, wendell l.",N,M008,5.0,3.0,"2'6""h x 3'4 ¼""w",Y,
Verrazzano Narrows Bridge,N,,2.0,50.0,see memo,Y,
Amphibian,Y,X010,3.0,15.0,,Y,
Old Man River,Y,X010,3.0,15.0,,Y,
Boar,Y,M108P,6.0,5.0,"Pedestal H: 2' W: 5'6""  L: 6'10""",Y,"$6,500"
Alfred Lincoln Seligman Fountain,Y,M056,9.0,9.0,H: 8',Y,2000.00
Mowgli Learns the Law of the Jungle,O,B073,0.0,39.0,,Y,
Star of Hope,Y,M052,5.0,3.0,,Y,
Migrating Birds,Y,X010,3.0,15.0,,Y,
Jerome Avenue Public Comfort Station,Y,X033,7.0,11.0,"H: 12"" W: 36"" D: ½""",M,
Bronx River Parkway Drive,Y,X002,14.0,12.0,"Stele H: 8' W: 52"" D: 20""",Y,
Foley Square Medallions,Y,M030,1.0,1.0,Diameter: 2 meters (each),Y,
East River Roundabout,Y,MZ003,8.0,5.0,40' x 60' x 80',Y,"$350,000"
Sand Fleas,Y,X010,3.0,15.0,,Y,
Columnade,Y,M029,12.0,7.0,"H: 17' W: 19' D: 3' 6""",Y,
Veteran's Square Memorial (Rosedale),Y,QZ108,,,,Y,
Union Square Drinking Fountain,Y,M089,5.0,2.0,"Total H: 19' W: 7'6"" D: 12'",Y,
Grant's Tomb Eagles,N,M071,7.0,6.0,,Y,
Fidelity Park World War Memorial,Y,B031,1.0,33.0,,M,
Night Presence IV,Y,M060C,8.0,4.0,H: 22' W: 13' D: 9'; Weight: 4½ tons,Y,
Boy and Dog,Y,B073,0.0,39.0,H: 3' (approximate),Y,
"Sundial, Morris-Jumel Mansion",Y,M073,12.0,7.0,,Y,
Bartel-Pritchard Circle Columns,Y,B003,19.0,39.0,,Y,
Duane Park Flagstaff,Y,M025,1.0,1.0,"Base H: 6'4"" W: 3'4"" D: 3'4""",N,
Catholic War Veterans Square,Y,Q148,10.0,28.0,,Y,
Peter & Willie,Y,B073,0.0,39.0,boulder = approx. w. 9' x d. 4',Y,"$800,000 (entire playground);"
Thomas F. Smith,N,M084,4.0,3.0,H: 8' W: 3' D: 3',Y,"$3,000"
City Hall Park Fountain,Y,M013,1.0,1.0,Pool L: 30' W: 30'; Basin Diameter: 10'; Column H: 15' (all approximate),Y,
Beach and Sea Lion,Y,X010,3.0,15.0,,Y,
Voice 2,Y,M376,9.0,7.0,,Y,
Medusa,Y,X010,3.0,15.0,,Y,
General Gouverneur Kemble Warren,Y,B040,19.0,33.0,"Overall dimensions H: 17'6"" W: 8' D: 8'",Y,"$10,000"
Union Square Park Labor & History Plaques,Y,M089,5.0,2.0,,Y,
Neptune Fountain,Y,R116,1.0,49.0,"Total H: 10'6""; basin Diameter: 60'",Y,"$620,350 (bronze reproduction)"
General Franz Sigel,Y,M071,7.0,6.0,"Figure H: 11'9""; Pedestal H: 6'3"" L: 10' W: 5'8""; base H: 2'3"" L: 10' W: 5'8""",Y,"$20,000"
The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,Y,B040,19.0,33.0,"H: 22'3"" W: 11'3¾"" D: 7'5½""",Y,
Mowgli Skins the Tiger,O,B073,0.0,39.0,,Y,
General Henry Warner Slocum,Y,B073,0.0,39.0,"Statue H: 17' W: 4'8¾"" D: 12'7¾""; Pedestal H: 11'10¾"" W: 10'5¾"" D: 18'4""",Y,29000.00
Bound Hands Rising Free,Y,B058,1.0,33.0,"Sculpture H: 3'9"" W: 9""; pedestal H: 2' W: 1' D: 1'",Y,
Heinrich Heine Fountain,Y,X028,4.0,17.0,"Total H: 19'; Basin Diameter: 34'6""",Y,"$35,000"
Seat,Y,X016,9.0,13.0,"Armchair H: 4'5"" W: 2'5"" D: 2'6""; Boulder H: 4' W: 6'8"" L: 8'8""",Y,"40,000.00"
Ibis Totem,Y,X010,3.0,15.0,h 10' (approximate),Y,
Robert Fulton,Y,B038,3.0,36.0,"Figure H: 10'6""; pedestal H: 4'6"" W: 5'3"" D: 5'3""",Y,
Crack Is Wack,Y,M208E,11.0,8.0,,Y,
First Symphony of the Sea,Y,B169,13.0,47.0,H: 10' L: 332',Y,
Soldiers and Sailors Monument,Y,Q025,12.0,27.0,"Figure H: 10'9""; Pedestal H: 10' W: 3'6"" D: 3'6""",Y,
G.A.R. Tablet,Y,B040,19.0,33.0,"H: 11"" W: 4' D: 3'1""",M,
Grant's Tomb Eagles,N,M071,7.0,6.0,,Y,
Speeder,Y,X010,3.0,15.0,,Y,
World's Fair Flagstaffs,Y,Q099,15.0,21.0,,Y,
Marie Sklodowska Curie,Y,M013,1.0,1.0,"H: 9"" W: 13""",Y,
Charging Bull,N,M007,1.0,1.0,"h 8' x l 16'; weight: 7,000 pounds",Y,
Firemen's Memorial Luminaire,Y,M097,7.0,6.0,,Y,
Frank J. Goodwin,Y,M011,4.0,3.0,"H: 5'10"" W: 2' D: 2'",Y,
Marine Amphitheater Groups,Y,Q099,15.0,21.0,Each group H: 3' W: 6',Y,
Fort Tryon Park Flagstaff,Y,M029,12.0,7.0,"H: 8'8"" D: 13'",Y,
Mowgli Protected from the Tiger by the Wolves,O,B073,0.0,39.0,,Y,
Ukrainian American Flagstaff,Y,M188,3.0,2.0,,Y,
Skagerrak,Y,M263,6.0,2.0,H: 7'  W: 7'  D: 16',Y,
Blockhouse Plaque,Y,M056,9.0,9.0,,M,
World's Fair Flagstaffs,Y,Q099,15.0,21.0,,Y,
Doric Columns,Y,Q436,1.0,22.0,"Total H: 28'3"" W: 20' (both approximate)",Y,"$170,000 (architect's estimate);"
Unisphere and Fountain,Y,Q099,15.0,21.0,H: 140' W: 120',Y,
Giuseppe Verdi,Y,M097,7.0,6.0,"H: 25'9"" Diameter: 18'",Y,20000.00
Wild Geese,Y,X010,3.0,15.0,,Y,
Voice 4,Y,M376,9.0,7.0,,Y,
Randolph St. G. Walker Jr.,Y,R015,1.0,49.0,"1'2""h x 2'4 ½""w",Y,
Stuyvesant Post War Memorial,Y,,6.0,2.0,"Total H: 10'8"" (stele H: 9', cap H: 1'8"") D: 6'6""",Y,"$2,800"
Kryeti-Aekyad #2,Y,M045,8.0,5.0,"H: 7'7"" W: 10'11"" D: 1'10"" (all approximate)",Y,"$65,000"
Quadriga: the Triumphal Progress of Columbia,Y,B040,19.0,33.0,H: 25' W: 32' D: 16'; each trumpeter H: 11',Y,"$42,000"
Flying Fish,Y,X010,3.0,15.0,,Y,
Etched Granite Pavement,Y,Q099,15.0,21.0,"Two groups 24' x 40'; two groups 8' x 45'; total area: 3,000 square feet",Y,"$400,000"
Grand Army Plaza Lamps,Y,B040,19.0,33.0,,Y,
Macombs Dam Park Fountain,Y,X030,4.0,17.0,"H: 7'8"" W: 17'4"" D: 10'3""",Y,
Roosevelt Island Lighthouse,O,,8.0,5.0,,Y,
Sport Fish,Y,X010,3.0,15.0,,Y,
Fort Tryon Park Playground,Y,M029,12.0,7.0,"H: 1'3 3/8"" W: 2'6"" D: 4""",Y,
Algernon Sidney Sullivan,Y,X092,13.0,11.0,"H: 10'2""  W: 4'3"" D: 4'6""",Y,6000.00
George Washington Accompanied by Fame and Valor,Y,M098,2.0,1.0,,Y,"$15,000"
Flanders Field Flagstaff,Y,Q026,4.0,21.0,,Y,
River That Flows Two Ways,Y,M005,1.0,1.0,each panel 2' x 2'; fence l 1500',Y,
Riverside Civil War Cannons,Y,M072,7.0,6.0,"Diameter: 8"" Length:121"",  Across face of muzzle: 13""",Y,
Abraham Lincoln,Y,M089,5.0,2.0,Figure H: 8'; Pedestal H: 11½'  W: 9½' D: 9½',Y,
"Riverdale, Spuytenduyvil, Kingsbridge Memorial Bell Tower",Y,,8.0,11.0,"H: 50' W: 17'6"" D: 17'6""",Y,
Wingdale,Y,Q025,12.0,27.0,H: 4½' W: 4½' L: 12',Y,"$7,500"
